


R: 4.943    G: 6.74611    B: 6.71502
R: 4.84974    G: 6.4974    B: 6.59067
R: 4.78756    G: 6.40414    B: 6.52849
R: 4.91192    G: 6.40414    B: 6.87047
R: 4.91192    G: 6.37306    B: 6.83938
R: 4.81865    G: 6.09326    B: 6.74611
R: 4.6943    G: 5.78238    B: 6.62176
R: 4.81865    G: 5.84456    B: 6.65285
R: 4.943    G: 5.90673    B: 6.83938
R: 5.06736    G: 6.18653    B: 6.96373
R: 5.12953    G: 6.31088    B: 7.05699
R: 5.06736    G: 6.46632    B: 7.05699
R: 5.03627    G: 6.46632    B: 7.0259
R: 5.12953    G: 6.59067    B: 7.11917
R: 5.28497    G: 6.74611    B: 7.3057
R: 5.40933    G: 7.18134    B: 7.43005
R: 5.40933    G: 7.15026    B: 7.39896
R: 5.37824    G: 7.18134    B: 7.39896
R: 5.37824    G: 7.18134    B: 7.39896
R: 5.40933    G: 7.18134    B: 7.39896
R: 5.40933    G: 7.18134    B: 7.39896
R: 5.34715    G: 7.21243    B: 7.21243
R: 5.31606    G: 7.11917    B: 7.18134
R: 5.34715    G: 7.3057    B: 7.05699
R: 5.31606    G: 7.21243    B: 7.11917
R: 5.25388    G: 7.05699    B: 7.11917
R: 5.25388    G: 6.99481    B: 7.21243
R: 5.28497    G: 6.93264    B: 7.21243
R: 5.28497    G: 6.87047    B: 7.27461
R: 5.25388    G: 6.83938    B: 7.24352
R: 5.16062    G: 6.74611    B: 7.15026
R: 5.09844    G: 6.71502    B: 6.99481
R: 5.12953    G: 6.71502    B: 7.0259
R: 5.12953    G: 6.7772    B: 6.83938
R: 5.16062    G: 6.87047    B: 6.90155
R: 5.12953    G: 6.87047    B: 6.74611
R: 5.06736    G: 6.7772    B: 6.68394
R: 5.03627    G: 6.74611    B: 6.62176
R: 5.00518    G: 6.71502    B: 6.59067
R: 5.03627    G: 6.83938    B: 6.74611
R: 5.06736    G: 6.87047    B: 6.93264
R: 5.16062    G: 6.90155    B: 7.24352
R: 5.12953    G: 6.87047    B: 7.18134
R: 5.09844    G: 6.7772    B: 7.18134
R: 5.03627    G: 6.71502    B: 7.15026
R: 5.03627    G: 6.52849    B: 7.05699
R: 5.00518    G: 6.52849    B: 7.05699
R: 5.12953    G: 6.52849    B: 6.93264
R: 5.16062    G: 6.62176    B: 7.11917
R: 5.16062    G: 6.59067    B: 7.21243
R: 5.12953    G: 6.59067    B: 7.18134
R: 5.06736    G: 6.40414    B: 7.0259
R: 5.12953    G: 6.46632    B: 7.05699
R: 5.25388    G: 6.52849    B: 7.27461
R: 5.25388    G: 6.52849    B: 7.24352
R: 5.56476    G: 6.90155    B: 7.67875
R: 5.56476    G: 6.90155    B: 7.64767
R: 5.53368    G: 6.96373    B: 7.64767
R: 5.53368    G: 6.99481    B: 7.67875
R: 5.4715    G: 7.0259    B: 7.64767
R: 5.40933    G: 6.93264    B: 7.52331
R: 5.31606    G: 6.93264    B: 7.36788
R: 5.31606    G: 6.93264    B: 7.3057
R: 5.09844    G: 6.74611    B: 7.05699
R: 5.12953    G: 6.7772    B: 7.11917
R: 4.943    G: 6.62176    B: 6.96373
R: 4.943    G: 6.59067    B: 6.90155
R: 4.88083    G: 6.4974    B: 6.87047
R: 4.943    G: 6.68394    B: 6.96373
R: 4.943    G: 6.71502    B: 6.99481
R: 4.943    G: 6.71502    B: 7.05699
R: 4.81865    G: 6.74611    B: 6.90155
R: 5.00518    G: 6.87047    B: 6.99481
R: 5.09844    G: 7.0259    B: 7.15026
R: 5.31606    G: 7.15026    B: 7.3057
R: 5.40933    G: 7.24352    B: 7.49222
R: 5.56476    G: 7.24352    B: 7.58549
R: 5.65803    G: 7.24352    B: 7.70984
R: 5.59585    G: 7.21243    B: 7.58549
R: 5.56476    G: 7.27461    B: 7.5544
R: 5.56476    G: 7.27461    B: 7.5544
R: 5.40933    G: 7.15026    B: 7.43005
R: 5.28497    G: 6.93264    B: 7.21243
R: 5.06736    G: 6.68394    B: 6.96373
R: 5.00518    G: 6.59067    B: 6.83938
R: 5.06736    G: 6.52849    B: 6.74611
R: 5.12953    G: 6.59067    B: 6.87047
R: 5.37824    G: 6.71502    B: 7.11917
R: 5.28497    G: 6.46632    B: 6.90155
R: 5.03627    G: 6.37306    B: 6.65285
R: 4.91192    G: 6.18653    B: 6.4974
R: 4.66321    G: 6.09326    B: 6.15544
R: 4.56995    G: 5.93782    B: 6
R: 4.53886    G: 5.87565    B: 5.93782
R: 4.56995    G: 5.93782    B: 6
R: 4.56995    G: 6.06217    B: 6.09326
R: 4.60104    G: 6.09326    B: 6.31088
R: 4.56995    G: 6.06217    B: 6.2487
R: 4.56995    G: 5.90673    B: 6.18653
R: 4.56995    G: 5.81347    B: 6.31088
R: 4.63212    G: 5.90673    B: 6.52849
R: 4.6943    G: 5.96891    B: 6.65285
R: 4.81865    G: 6.12435    B: 6.7772
R: 4.81865    G: 6.12435    B: 6.46632
R: 4.88083    G: 6.18653    B: 6.46632
R: 4.943    G: 6.2487    B: 6.4974
R: 4.943    G: 6.2487    B: 6.52849
R: 4.943    G: 6.31088    B: 6.46632
R: 5.03627    G: 6.40414    B: 6.59067
R: 5.12953    G: 6.71502    B: 6.65285
R: 5.28497    G: 6.90155    B: 6.83938
R: 5.28497    G: 6.96373    B: 6.71502
R: 5.12953    G: 6.71502    B: 6.43523
R: 5.03627    G: 6.52849    B: 6.4974
R: 5.03627    G: 6.59067    B: 6.59067
R: 5.00518    G: 6.59067    B: 6.74611
R: 5.00518    G: 6.52849    B: 6.7772
R: 4.943    G: 6.4974    B: 6.7772
R: 4.943    G: 6.43523    B: 6.90155
R: 4.66321    G: 6    B: 6.46632
R: 4.63212    G: 5.96891    B: 6.40414
R: 4.63212    G: 5.96891    B: 6.46632
R: 4.66321    G: 6    B: 6.52849
R: 4.63212    G: 6    B: 6.65285
R: 4.66321    G: 6.06217    B: 6.68394
R: 4.60104    G: 6    B: 6.71502
R: 4.53886    G: 5.87565    B: 6.74611
R: 4.56995    G: 5.93782    B: 6.74611
R: 4.53886    G: 5.84456    B: 6.68394
R: 4.38342    G: 5.65803    B: 6.34197
R: 4.38342    G: 5.59585    B: 6.2487
R: 4.41451    G: 5.68912    B: 6.2487
R: 4.63212    G: 5.90673    B: 6.52849
R: 4.75647    G: 6.06217    B: 6.52849
R: 4.78756    G: 6.06217    B: 6.59067
R: 4.6943    G: 5.96891    B: 6.43523
R: 4.6943    G: 5.90673    B: 6.40414
R: 4.66321    G: 5.87565    B: 6.2487
R: 4.66321    G: 5.87565    B: 6.2487
R: 4.6943    G: 5.96891    B: 6.06217
R: 4.81865    G: 6.12435    B: 6.18653
R: 4.84974    G: 6.18653    B: 6.12435
R: 4.84974    G: 6.18653    B: 6.15544
R: 4.6943    G: 6    B: 5.87565
R: 4.84974    G: 6.15544    B: 6.06217
R: 4.91192    G: 6.34197    B: 6.2487
R: 4.91192    G: 6.34197    B: 6.34197
R: 4.88083    G: 6.21761    B: 6.40414
R: 4.84974    G: 6.15544    B: 6.40414
R: 4.78756    G: 6    B: 6.34197
R: 4.75647    G: 5.93782    B: 6.2487
R: 4.6943    G: 5.96891    B: 6.46632
R: 4.6943    G: 5.96891    B: 6.46632
R: 4.84974    G: 6.18653    B: 6.65285
R: 5.09844    G: 6.43523    B: 6.90155
R: 5.00518    G: 6.43523    B: 6.93264
R: 5.00518    G: 6.34197    B: 6.87047
R: 5.06736    G: 6.52849    B: 7.18134
R: 5.25388    G: 6.93264    B: 7.58549
R: 4.943    G: 6.65285    B: 7.11917
R: 4.84974    G: 6.46632    B: 6.93264
R: 4.84974    G: 6.4974    B: 6.90155
R: 4.91192    G: 6.59067    B: 6.96373
R: 4.943    G: 6.59067    B: 6.74611
R: 5.00518    G: 6.59067    B: 6.74611
R: 5.09844    G: 6.65285    B: 6.83938
R: 5.19171    G: 6.59067    B: 6.87047
R: 5.03627    G: 6.40414    B: 6.62176
R: 5.06736    G: 6.2487    B: 6.65285
R: 5.03627    G: 6.2487    B: 6.65285
R: 4.943    G: 6.15544    B: 6.74611
R: 4.91192    G: 6.06217    B: 6.68394
R: 4.88083    G: 5.93782    B: 6.68394
R: 4.91192    G: 6.09326    B: 6.71502
R: 5.03627    G: 6.21761    B: 6.90155
R: 5.09844    G: 6.4974    B: 6.93264
R: 5.16062    G: 6.62176    B: 7.05699
R: 5.16062    G: 6.74611    B: 7.11917
R: 5.06736    G: 6.62176    B: 7.0259
R: 4.943    G: 6.65285    B: 6.96373
R: 5.03627    G: 6.74611    B: 7.18134
R: 5.00518    G: 6.7772    B: 7.15026
R: 4.88083    G: 6.68394    B: 6.93264
R: 4.88083    G: 6.46632    B: 6.71502
R: 4.78756    G: 6.34197    B: 6.59067
R: 4.6943    G: 6.15544    B: 6.37306
R: 4.63212    G: 6    B: 6.2487
R: 4.56995    G: 5.87565    B: 6.18653
R: 4.56995    G: 5.87565    B: 6.18653
R: 4.66321    G: 5.96891    B: 6.40414
R: 4.78756    G: 6.12435    B: 6.43523
R: 4.91192    G: 6.18653    B: 6.43523
R: 4.91192    G: 6.18653    B: 6.37306
R: 4.88083    G: 6.18653    B: 6.2487
R: 4.81865    G: 6.09326    B: 6.15544
R: 4.6943    G: 6    B: 5.96891
R: 4.66321    G: 5.90673    B: 5.90673
R: 4.60104    G: 5.90673    B: 6
R: 4.63212    G: 5.87565    B: 5.96891
R: 4.60104    G: 6.06217    B: 5.81347
R: 4.6943    G: 6.15544    B: 5.93782
R: 4.81865    G: 6.21761    B: 6.06217
R: 4.88083    G: 6.2487    B: 6.09326
R: 4.943    G: 6.34197    B: 6.09326
R: 4.943    G: 6.2487    B: 6.09326
R: 5.09844    G: 6.2487    B: 6.12435
R: 5.12953    G: 6.31088    B: 6.21761
R: 5.03627    G: 6.15544    B: 6.18653
R: 5.00518    G: 6.12435    B: 6.15544
R: 4.88083    G: 6    B: 6.18653
R: 4.84974    G: 5.96891    B: 6.15544
R: 4.84974    G: 5.96891    B: 6.21761
R: 4.91192    G: 6.09326    B: 6.37306
R: 4.78756    G: 6.09326    B: 6.18653
R: 4.75647    G: 6.06217    B: 6.15544
R: 4.63212    G: 6.12435    B: 6.06217
R: 4.63212    G: 6.15544    B: 6
R: 4.75647    G: 6.09326    B: 6.06217
R: 4.75647    G: 6.06217    B: 6
R: 4.75647    G: 5.90673    B: 6.09326
R: 4.78756    G: 5.90673    B: 6.18653
R: 4.81865    G: 5.7202    B: 6.15544
R: 4.78756    G: 5.68912    B: 6.21761
R: 4.6943    G: 5.53368    B: 6.31088
R: 4.78756    G: 5.62694    B: 6.43523
R: 4.66321    G: 5.81347    B: 6.4974
R: 4.66321    G: 5.84456    B: 6.52849
R: 4.60104    G: 6    B: 6.52849
R: 4.75647    G: 6.18653    B: 6.71502
R: 4.63212    G: 6.37306    B: 6.68394
R: 4.6943    G: 6.2487    B: 6.59067
R: 4.75647    G: 6.12435    B: 6.52849
R: 4.81865    G: 6.09326    B: 6.4974
R: 4.81865    G: 6.12435    B: 6.59067
R: 4.78756    G: 6.09326    B: 6.52849
R: 4.81865    G: 5.93782    B: 6.40414
R: 4.81865    G: 5.93782    B: 6.40414
R: 4.943    G: 6.15544    B: 6.46632
R: 5.00518    G: 6.2487    B: 6.59067
R: 4.63212    G: 5.84456    B: 6.09326
R: 4.66321    G: 5.90673    B: 6.15544
R: 4.75647    G: 6.09326    B: 6.15544
R: 4.84974    G: 6.2487    B: 6.31088
R: 4.943    G: 6.46632    B: 6.52849
R: 4.943    G: 6.43523    B: 6.46632
R: 4.81865    G: 6.31088    B: 6.18653
R: 4.84974    G: 6.31088    B: 6.2487
R: 4.75647    G: 5.81347    B: 6.09326
R: 4.81865    G: 5.90673    B: 6.34197
R: 4.91192    G: 6.06217    B: 6.46632
R: 5.03627    G: 6.15544    B: 6.71502
R: 5.00518    G: 6.18653    B: 6.71502
R: 5.00518    G: 6.15544    B: 6.7772
R: 4.943    G: 6.18653    B: 6.74611
R: 4.943    G: 6.18653    B: 6.74611
R: 5.06736    G: 6.43523    B: 6.7772
R: 5.03627    G: 6.37306    B: 6.71502
R: 5.06736    G: 6.59067    B: 6.71502
R: 5.09844    G: 6.65285    B: 6.74611
R: 5.03627    G: 6.62176    B: 6.71502
R: 4.943    G: 6.43523    B: 6.59067
R: 4.91192    G: 6.37306    B: 6.65285
R: 5.03627    G: 6.46632    B: 6.7772
R: 5.03627    G: 6.40414    B: 6.74611
R: 5.03627    G: 6.34197    B: 6.7772
R: 5.03627    G: 6.2487    B: 6.68394
R: 4.943    G: 6.18653    B: 6.62176
R: 4.75647    G: 6    B: 6.18653
R: 4.63212    G: 5.84456    B: 6
R: 4.66321    G: 5.96891    B: 6.09326
R: 4.81865    G: 6.12435    B: 6.2487
R: 4.6943    G: 5.90673    B: 6.09326
R: 4.75647    G: 5.96891    B: 6.15544
R: 4.78756    G: 6.06217    B: 6.40414
R: 4.84974    G: 6.06217    B: 6.43523
R: 4.91192    G: 6.2487    B: 6.74611
R: 5.06736    G: 6.4974    B: 7.15026
R: 5.19171    G: 6.65285    B: 7.3057
R: 5.28497    G: 6.68394    B: 7.36788
R: 5.28497    G: 6.65285    B: 7.27461
R: 5.16062    G: 6.59067    B: 7.11917
R: 5.06736    G: 6.65285    B: 7.15026
R: 5.12953    G: 6.71502    B: 7.24352
R: 5.37824    G: 6.90155    B: 7.5544
R: 5.37824    G: 6.90155    B: 7.5544
R: 5.12953    G: 6.59067    B: 7.18134
R: 4.84974    G: 6.18653    B: 6.7772
R: 4.81865    G: 6.06217    B: 6.68394
R: 4.75647    G: 5.96891    B: 6.62176
R: 4.66321    G: 6.06217    B: 6.40414
R: 4.63212    G: 5.96891    B: 6.34197
R: 4.60104    G: 6    B: 6.18653
R: 4.75647    G: 6.2487    B: 6.43523
R: 4.943    G: 6.62176    B: 6.62176
R: 5.16062    G: 6.87047    B: 7.0259
R: 5.19171    G: 7.15026    B: 7.15026
R: 5.25388    G: 7.05699    B: 7.21243
R: 5.19171    G: 7.05699    B: 7.24352
R: 5.28497    G: 7.15026    B: 7.43005
R: 5.31606    G: 7.27461    B: 7.52331
R: 5.12953    G: 6.99481    B: 7.36788
R: 5.06736    G: 6.83938    B: 7.27461
R: 5.25388    G: 7.11917    B: 7.52331
R: 5.19171    G: 6.93264    B: 7.43005
R: 5.28497    G: 6.7772    B: 7.39896
R: 5.09844    G: 6.71502    B: 7.11917
R: 5.00518    G: 6.52849    B: 6.90155
R: 4.88083    G: 6.43523    B: 6.71502
R: 4.91192    G: 6.46632    B: 6.74611
R: 4.91192    G: 6.46632    B: 6.4974
R: 4.91192    G: 6.4974    B: 6.52849
R: 4.943    G: 6.46632    B: 6.46632
R: 5.06736    G: 6.62176    B: 6.59067
R: 5.06736    G: 6.62176    B: 6.52849
R: 5.06736    G: 6.62176    B: 6.52849
R: 5.03627    G: 6.74611    B: 6.68394
R: 5.06736    G: 6.83938    B: 6.74611
R: 5.09844    G: 6.68394    B: 6.7772
R: 5.06736    G: 6.62176    B: 6.65285
R: 5.00518    G: 6.4974    B: 6.74611
R: 4.943    G: 6.43523    B: 6.87047
R: 4.943    G: 6.37306    B: 6.7772
R: 4.91192    G: 6.31088    B: 6.90155
R: 5.00518    G: 6.15544    B: 6.87047
R: 5.03627    G: 6.21761    B: 6.99481
R: 5.12953    G: 6.34197    B: 7.21243
R: 5.28497    G: 6.46632    B: 7.24352
R: 5.31606    G: 6.31088    B: 6.90155
R: 5.40933    G: 6.37306    B: 6.87047
R: 5.16062    G: 6.2487    B: 6.7772
R: 5.09844    G: 6.15544    B: 6.71502
R: 4.943    G: 6.43523    B: 6.7772
R: 4.943    G: 6.43523    B: 6.87047
R: 4.78756    G: 6.46632    B: 6.59067
R: 4.84974    G: 6.46632    B: 6.62176
R: 4.84974    G: 6.4974    B: 6.68394
R: 4.91192    G: 6.52849    B: 6.74611
R: 4.91192    G: 6.43523    B: 6.65285
R: 4.943    G: 6.43523    B: 6.68394
R: 4.84974    G: 6.46632    B: 6.71502
R: 4.91192    G: 6.31088    B: 6.59067
R: 4.6943    G: 6.06217    B: 6.43523
R: 4.78756    G: 6.12435    B: 6.46632
R: 4.63212    G: 5.90673    B: 5.96891
R: 4.63212    G: 5.93782    B: 6.06217
R: 4.75647    G: 5.93782    B: 6.15544
R: 4.84974    G: 6.09326    B: 6.31088
R: 5.06736    G: 6.40414    B: 6.62176
R: 5.09844    G: 6.43523    B: 6.68394
R: 5.03627    G: 6.2487    B: 6.62176
R: 5.00518    G: 6.15544    B: 6.65285
R: 5.06736    G: 6.31088    B: 6.71502
R: 5.03627    G: 6.21761    B: 6.74611
R: 5.06736    G: 6.2487    B: 6.83938
R: 5.12953    G: 6.34197    B: 6.90155
R: 5.19171    G: 6.43523    B: 6.99481
R: 5.31606    G: 6.59067    B: 7.18134
R: 5.16062    G: 6.43523    B: 6.93264
R: 5.06736    G: 6.2487    B: 6.68394
R: 5.06736    G: 6.74611    B: 6.93264
R: 4.91192    G: 6.59067    B: 6.68394
R: 5.03627    G: 6.4974    B: 6.65285
R: 5.19171    G: 6.71502    B: 6.87047
R: 5.53368    G: 7.15026    B: 7.24352
R: 5.62694    G: 7.3057    B: 7.43005
R: 5.53368    G: 6.87047    B: 7.24352
R: 5.31606    G: 6.59067    B: 6.93264
R: 5.37824    G: 6.65285    B: 6.93264
R: 5.12953    G: 6.34197    B: 6.65285
R: 4.943    G: 6.09326    B: 6.40414
R: 4.943    G: 6.12435    B: 6.43523
R: 5.00518    G: 6.12435    B: 6.37306
R: 5.00518    G: 6.15544    B: 6.40414
R: 5.06736    G: 6.2487    B: 6.37306
R: 5.12953    G: 6.37306    B: 6.59067
R: 5.06736    G: 6.4974    B: 6.52849
R: 4.91192    G: 6.2487    B: 6.4974
R: 4.6943    G: 5.93782    B: 6.34197
R: 4.63212    G: 5.87565    B: 6.2487
R: 4.66321    G: 6.06217    B: 6.40414
R: 4.84974    G: 6.31088    B: 6.59067
R: 4.81865    G: 6.37306    B: 6.62176
R: 4.78756    G: 6.2487    B: 6.65285
R: 4.53886    G: 6.09326    B: 6.37306
R: 4.56995    G: 6.15544    B: 6.46632
R: 4.60104    G: 6.21761    B: 6.46632
R: 4.63212    G: 6.2487    B: 6.52849
R: 4.63212    G: 6.21761    B: 6.2487
R: 4.56995    G: 6.09326    B: 6.15544
R: 4.63212    G: 6.31088    B: 6.12435
R: 4.84974    G: 6.4974    B: 6.43523
R: 4.91192    G: 6.65285    B: 6.68394
R: 5.09844    G: 6.87047    B: 6.99481
R: 5.09844    G: 6.87047    B: 6.99481
R: 5.06736    G: 6.83938    B: 7.05699
R: 5.09844    G: 6.90155    B: 7.18134
R: 5.25388    G: 7.05699    B: 7.3057
R: 5.25388    G: 6.93264    B: 7.0259
R: 5.12953    G: 6.7772    B: 6.93264
R: 5.03627    G: 6.68394    B: 6.74611
R: 4.88083    G: 6.4974    B: 6.59067
R: 4.75647    G: 6.37306    B: 6.34197
R: 4.60104    G: 6.18653    B: 6.15544
R: 4.50777    G: 5.93782    B: 6.09326
R: 4.50777    G: 5.93782    B: 6.12435
R: 4.60104    G: 6.15544    B: 6.40414
R: 4.60104    G: 6.15544    B: 6.40414
R: 4.91192    G: 6.34197    B: 6.4974
R: 4.88083    G: 6.31088    B: 6.46632
R: 4.78756    G: 6.2487    B: 6.43523
R: 4.78756    G: 6.21761    B: 6.43523
R: 4.6943    G: 6.18653    B: 6.34197
R: 4.63212    G: 6.09326    B: 6.18653
R: 4.56995    G: 5.87565    B: 6.18653
R: 4.56995    G: 5.87565    B: 6.18653
R: 4.56995    G: 6.15544    B: 6.40414
R: 4.66321    G: 6.31088    B: 6.59067
R: 4.78756    G: 6.34197    B: 6.59067
R: 4.943    G: 6.59067    B: 6.83938
R: 5.12953    G: 6.7772    B: 7.21243
R: 5.12953    G: 6.74611    B: 7.18134
R: 5.09844    G: 6.71502    B: 7.15026
R: 5.12953    G: 6.68394    B: 7.15026
R: 4.66321    G: 6.15544    B: 6.62176
R: 4.78756    G: 6.18653    B: 6.74611
R: 4.63212    G: 6.21761    B: 6.62176
R: 4.53886    G: 6.09326    B: 6.46632
R: 4.56995    G: 6.18653    B: 6.31088
R: 4.66321    G: 6.34197    B: 6.40414
R: 4.88083    G: 6.43523    B: 6.59067
R: 5.06736    G: 6.71502    B: 6.83938
R: 5.12953    G: 6.83938    B: 6.93264
R: 5.16062    G: 6.87047    B: 6.96373
R: 5.28497    G: 6.83938    B: 6.96373
R: 5.09844    G: 6.62176    B: 6.7772
R: 4.81865    G: 6.09326    B: 6.43523
R: 4.6943    G: 5.96891    B: 6.31088
R: 4.81865    G: 6.09326    B: 6.43523
R: 4.88083    G: 6.18653    B: 6.52849
R: 4.78756    G: 6    B: 6.52849
R: 4.91192    G: 6.21761    B: 6.71502
R: 4.943    G: 6.37306    B: 6.71502
R: 5.00518    G: 6.46632    B: 6.7772
R: 5.25388    G: 6.71502    B: 7.11917
R: 5.4715    G: 7.0259    B: 7.43005
R: 5.44041    G: 6.99481    B: 7.39896
R: 5.28497    G: 6.71502    B: 7.11917
R: 5.06736    G: 6.40414    B: 6.71502
R: 5.00518    G: 6.2487    B: 6.62176
R: 4.943    G: 6    B: 6.46632
R: 4.81865    G: 5.81347    B: 6.2487
R: 4.66321    G: 5.56476    B: 6
R: 4.53886    G: 5.34715    B: 5.81347
R: 4.60104    G: 5.28497    B: 5.7202
R: 4.60104    G: 5.28497    B: 5.7202
R: 4.47668    G: 5.34715    B: 5.7202
R: 4.50777    G: 5.37824    B: 5.78238
R: 4.53886    G: 5.44041    B: 5.81347
R: 4.56995    G: 5.53368    B: 5.87565
R: 4.56995    G: 5.68912    B: 5.96891
R: 4.56995    G: 5.68912    B: 5.96891
R: 4.56995    G: 5.68912    B: 5.96891
R: 4.53886    G: 5.65803    B: 5.96891
R: 4.53886    G: 5.78238    B: 5.93782
R: 4.56995    G: 5.84456    B: 5.96891
R: 4.63212    G: 5.90673    B: 6.15544
R: 4.75647    G: 6.09326    B: 6.31088
R: 4.78756    G: 6.09326    B: 6.37306
R: 4.81865    G: 6.15544    B: 6.40414
R: 4.66321    G: 6.06217    B: 6.18653
R: 4.56995    G: 5.78238    B: 6.09326
R: 4.53886    G: 5.62694    B: 6.12435
R: 4.53886    G: 5.53368    B: 6.18653
R: 4.50777    G: 5.53368    B: 6.09326
R: 4.53886    G: 5.62694    B: 6.18653
R: 4.53886    G: 5.78238    B: 6.06217
R: 4.66321    G: 5.90673    B: 6.18653
R: 4.66321    G: 6.09326    B: 6.21761
R: 4.66321    G: 6.09326    B: 6.21761
R: 4.81865    G: 6.12435    B: 6.31088
R: 4.81865    G: 6.12435    B: 6.31088
R: 4.88083    G: 6.15544    B: 6.43523
R: 4.91192    G: 6.18653    B: 6.46632
R: 5.03627    G: 6.31088    B: 6.46632
R: 5.06736    G: 6.34197    B: 6.4974
R: 5.09844    G: 6.18653    B: 6.4974
R: 5.00518    G: 6.12435    B: 6.43523
R: 4.88083    G: 6.15544    B: 6.37306
R: 4.84974    G: 6.18653    B: 6.43523
R: 4.88083    G: 6.18653    B: 6.46632
R: 4.88083    G: 6.18653    B: 6.62176
R: 4.943    G: 6.2487    B: 6.62176
R: 5.03627    G: 6.34197    B: 6.7772
R: 5.12953    G: 6.46632    B: 6.7772
R: 5.19171    G: 6.59067    B: 6.90155
R: 5.00518    G: 6.37306    B: 6.62176
R: 4.84974    G: 6.12435    B: 6.40414
R: 4.6943    G: 5.90673    B: 6.21761
R: 4.75647    G: 5.96891    B: 6.31088
R: 4.81865    G: 6    B: 6.46632
R: 4.81865    G: 6    B: 6.59067
R: 4.75647    G: 5.96891    B: 6.4974
R: 4.75647    G: 5.87565    B: 6.4974
R: 4.75647    G: 5.90673    B: 6.65285
R: 4.81865    G: 5.90673    B: 6.68394
R: 4.91192    G: 6    B: 6.62176
R: 5.06736    G: 6.21761    B: 6.83938
R: 5.16062    G: 6.2487    B: 6.65285
R: 5.12953    G: 6.21761    B: 6.65285
R: 5.16062    G: 6.2487    B: 6.65285
R: 5.25388    G: 6.34197    B: 6.74611
R: 5.34715    G: 6.59067    B: 6.99481
R: 5.31606    G: 6.52849    B: 6.96373
R: 5.06736    G: 6.40414    B: 6.93264
R: 4.81865    G: 5.96891    B: 6.65285
R: 4.66321    G: 5.78238    B: 6.46632
R: 4.63212    G: 5.68912    B: 6.43523
R: 4.56995    G: 5.7202    B: 6.31088
R: 4.53886    G: 5.68912    B: 6.18653
R: 4.56995    G: 5.84456    B: 6.40414
R: 4.56995    G: 5.87565    B: 6.43523
R: 4.66321    G: 6.06217    B: 6.59067
R: 4.75647    G: 6.15544    B: 6.65285
R: 4.75647    G: 6.06217    B: 6.62176
R: 4.63212    G: 5.87565    B: 6.43523
R: 4.63212    G: 5.84456    B: 6.46632
R: 4.56995    G: 5.78238    B: 6.40414
R: 4.56995    G: 5.7202    B: 6.31088
R: 4.50777    G: 5.59585    B: 6.18653
R: 4.38342    G: 5.4715    B: 5.84456
R: 4.35233    G: 5.4715    B: 5.81347
R: 4.41451    G: 5.62694    B: 5.78238
R: 4.56995    G: 5.84456    B: 6
R: 4.63212    G: 6.09326    B: 6.09326
R: 4.78756    G: 6.15544    B: 6.21761
R: 4.50777    G: 5.68912    B: 5.84456
R: 4.56995    G: 5.62694    B: 5.87565
R: 4.53886    G: 5.62694    B: 5.90673
R: 4.56995    G: 5.62694    B: 5.90673
R: 4.56995    G: 5.59585    B: 5.93782
R: 4.56995    G: 5.62694    B: 5.96891
R: 4.56995    G: 5.68912    B: 6.09326
R: 4.56995    G: 5.68912    B: 6.09326
R: 4.63212    G: 5.7202    B: 6.15544
R: 4.75647    G: 5.87565    B: 6.34197
R: 4.75647    G: 5.93782    B: 6.31088
R: 4.60104    G: 5.68912    B: 6.09326
R: 4.56995    G: 5.62694    B: 5.93782
R: 4.60104    G: 5.65803    B: 5.96891
R: 4.56995    G: 5.62694    B: 5.78238
R: 4.38342    G: 5.31606    B: 5.7202
R: 4.25906    G: 5.31606    B: 5.7202
R: 4.38342    G: 5.44041    B: 6.06217
R: 4.25906    G: 5.28497    B: 5.87565
R: 4.07254    G: 5.09844    B: 5.56476
R: 4.13471    G: 5.28497    B: 5.65803
R: 4.41451    G: 5.65803    B: 6.09326
R: 4.66321    G: 6.06217    B: 6.43523
R: 4.84974    G: 6.31088    B: 6.71502
R: 4.91192    G: 6.46632    B: 6.83938
R: 4.88083    G: 6.43523    B: 6.7772
R: 4.88083    G: 6.40414    B: 6.68394
R: 4.91192    G: 6.43523    B: 6.71502
R: 5.03627    G: 6.59067    B: 6.83938
R: 5.12953    G: 6.71502    B: 6.96373
R: 5.28497    G: 6.87047    B: 7.15026
R: 5.31606    G: 6.93264    B: 7.18134
R: 5.28497    G: 6.93264    B: 6.90155
R: 5.25388    G: 6.93264    B: 6.7772
R: 5.09844    G: 6.87047    B: 6.71502
R: 4.91192    G: 6.65285    B: 6.62176
R: 4.84974    G: 6.59067    B: 6.4974
R: 4.78756    G: 6.46632    B: 6.43523
R: 4.6943    G: 6.40414    B: 6.62176
R: 4.63212    G: 6.31088    B: 6.62176
R: 4.63212    G: 6.31088    B: 6.46632
R: 4.66321    G: 6.40414    B: 6.62176
R: 4.66321    G: 6.21761    B: 6.4974
R: 4.60104    G: 6.15544    B: 6.43523
R: 4.66321    G: 6.15544    B: 6.37306
R: 4.6943    G: 6.21761    B: 6.43523
R: 4.63212    G: 6.18653    B: 6.21761
R: 4.60104    G: 6.09326    B: 6.09326
R: 4.35233    G: 5.68912    B: 5.81347
R: 4.38342    G: 5.78238    B: 5.84456
R: 4.41451    G: 5.84456    B: 5.96891
R: 4.35233    G: 5.7202    B: 5.87565
R: 4.25906    G: 5.4715    B: 5.68912
